,idandtype,productname,company,interest_type,deposit_type,highest_rate,deposit_limit,period,monthly_interest,preference,review_counts,average_rate
0,100DEPOSIT,"고단위 플러스(금리확정형, 만기일시지급식, 법인)",kebhana,단리,자유적립,1.3,제한없음 ~ 제한없음,6개월 ~ 60개월,"
개월별 기본금리
6개월기본 1.3%우대 시 1.3%12개월기본 1.4%우대 시 1.4%24개월기본 1.5%우대 시 1.5%36개월기본 1.6%우대 시 1.6%48개월기본 1.6%우대 시 1.6%60개월기본 1.7%우대 시 1.7%
",,0,
1,101DEPOSIT,"고단위 플러스(금리연동형, 월이자지급식, 개인)",kebhana,단리,자유적립,1.2,제한없음 ~ 제한없음,6개월 ~ 12개월,"
개월별 기본금리
6개월기본 1.2%우대 시 1.2%12개월기본 1.3%우대 시 1.3%
",,0,
2,102DEPOSIT,"고단위 플러스(금리연동형, 월이자지급식, 법인)",kebhana,단리,자유적립,1.2,제한없음 ~ 제한없음,6개월 ~ 12개월,"
개월별 기본금리
6개월기본 1.2%우대 시 1.2%12개월기본 1.3%우대 시 1.3%
",,0,
3,103DEPOSIT,"고단위 플러스(금리연동형, 만기일시지급식, 개인)",kebhana,단리,자유적립,1.3,제한없음 ~ 제한없음,6개월 ~ 12개월,"
개월별 기본금리
6개월기본 1.3%우대 시 1.3%12개월기본 1.4%우대 시 1.4%
",,0,
4,104DEPOSIT,"고단위 플러스(금리연동형, 만기일시지급식, 법인)",kebhana,단리,자유적립,1.3,제한없음 ~ 제한없음,6개월 ~ 12개월,"
개월별 기본금리
6개월기본 1.3%우대 시 1.3%12개월기본 1.4%우대 시 1.4%
",,0,
5,105DEPOSIT,리틀빅 정기예금,kebhana,단리,자유적립,2.45,1만원 ~ 500만원,12개월 고정,"
개월별 기본금리
12개월기본 1.65%우대 시 2.45%
","""1. 체크카드 신규 우대 
이 예금 가입일에 하나체크카드 신규시 1백만원까지 금액에 대해 연 0.5% 우대 
(인터넷뱅킹/스마트폰뱅킹/콜센터를 통해 본 상품 가입 시에는 하나체크카드 신규 우대 이율 대신 인터넷뱅킹/스마트폰뱅킹/콜센터 우대이율 0.5% 제공)
2. 하나카드 유실적 우대 
가입 후 1년이내(가입월 ~ 만기 전월까지) 하나카드 100만원 이상 하나은행 결제계좌 결제 시 연 0.3% 우대""
",0,
6,10DEPOSIT,우리사랑 정기적금,woori,단리,정기적립,1.5,제한없음 ~ 제한없음,6개월 ~ 60개월,"
개월별 기본금리
6개월기본 1.3%우대 시 1.5%12개월기본 1.75%우대 시 1.95%24개월기본 1.9%우대 시 2.1%36개월기본 1.95%우대 시 2.15%48개월기본 1.95%우대 시 2.15%60개월기본 1.95%우대 시 2.15%
","""아래 조건을 충족하는 경우 최고 연 0.2%p까지 금리 우대
- 인터넷뱅킹으로 가입 시 연0.1%p
- 급여이체 고객 연0.1%p
- 주택청약종합저축 가입고객 연0.1%p
※ 매월 20일 이전에 신규시에는 전전월(지난 지난 달)의 급여이체실적이 있는 경우 우대적용되고
20일 이후에 신규하는 경우에는 전월(지난 달)의 급여이체실적이 있는 경우 우대적용됩니다.
※ 인터넷뱅킹으로 가입 및 조회 시 기본금리에 우대이율 반영되어 표시됩니다.""
",0,
7,123DEPOSIT,씨티 원더풀 라이프 적금,citi,단리,자유적립,1.7,"1만원 ~ 1,000만원",12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1%우대 시 1.7%24개월기본 1.2%우대 시 1.9%36개월기본 1.4%우대 시 2.1%
","적금 가입 기간 중 은행이 고지한 Event 발생시 발생일로부터 추가우대이율 가산
(추가우대이율 최대적용범위는 0.5%)
(각 Event 항목별 연 0.1%[세전] 추가우대이율 적용)",0,
8,124DEPOSIT,연리지적금(자유적립식),bnkbs,단리,자유적립,2.0,1만원 ~ 300만원,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.2%우대 시 2%24개월기본 1.3%우대 시 2.1%36개월기본 1.4%우대 시 2.2%
","""1. 융∙복합 우대이율 지원(최고 0.3% 우대) : 1개사 거래 : 0.2% 우대, 2개사 이상거래 : 0.3% 우대
- BNK투자증권거래자
- BNK캐피탈거래자
- BNK저축은행거래자
- BNK자산운용거래자
2. 주거래 연결 우대이율 지원(최고 0.3% 우대)
- 첫거래 고객 가입시 0.1% 지원
- Base Account 우대이율 (개인고객 및 개인사업자만 적용가능) : 계좌이동 서비스를 통해 1건 이상 타행거래를 당행으로 변경 시 0.1%, 당행 평생통장에 1건 이상 결제성 자동이체 거래 확인시  0.1%
3. 연결고리 우대이율 지원 (0.1% 우대)
4. 종이통장 미발급자 우대이율 지원 (0.1% 우대)""
",1,4.0
9,125DEPOSIT,연리지적금(정기적립식),bnkbs,단리,정기적립,2.2,10만원 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.4%우대 시 2.2%24개월기본 1.5%우대 시 2.3%36개월기본 1.6%우대 시 2.4%
","""1. 융∙복합 우대이율 지원(최고 0.3% 우대) : 1개사 거래 : 0.2% 우대, 2개사 이상거래 : 0.3% 우대
- BNK투자증권거래자
- BNK캐피탈거래자
- BNK저축은행거래자
- BNK자산운용거래자
2. 주거래 연결 우대이율 지원(최고 0.3% 우대)
- 첫거래 고객 가입시 0.1% 지원
- Base Account 우대이율 (개인고객 및 개인사업자만 적용가능) : 계좌이동 서비스를 통해 1건 이상 타행거래를 당행으로 변경 시 0.1%, 당행 평생통장에 1건 이상 결제성 자동이체 거래 확인시  0.1%
3. 연결고리 우대이율 지원 (0.1% 우대)
4. 종이통장 미발급자 우대이율 지원 (0.1% 우대)""
",0,
