,idandtype,productname,interest_type,company,lowest_rate,highest_rate,last_month_interest,maximum_period,preference,redemption_fee,related_fee,review_counts,average_rate
0,40MORT, 우리부동산(개량자금),혼합,woori,0.0,0.0,0.0,30,,"중도상환시 대출 만기까지 남아있는 기간에 따라 다르게 부과
대출취급 후 3년 이내 상환 시 : 1.5%
대출취급 후 3년 초과 상환 시 : 면제
매년 최초 대출금액의 10% 범위내에서 상환하는 경우에는 면제입니다. (대출취급일 기준)",주택금융신용보증서 보증료인지세 등,39,3.4
6,746MORT,6개월 변동금리 - APT론,변동,star_sb,3.1,7.2,4.2,30,영업점 문의 필요,"- 기한전상환대출금액×기한전상환수수료율×대출잔여일수/대출약정기간
*기한전상환수수료율 -1년이내 2%, 2년이내 1%, 3년이내 0.5%","- 설정비 면제(국민주택 채권매입비 고객부담)
인지세법에서 정한 금액의 50%부담",0,
7,713MORT,APT대출(가계),변동,hk_sb,4.4,7.8,5.0,30,영업점 문의 필요,- 중도상환금액(종합통장대출은 한도금액)×2%×(대출잔여일수÷대출기간 총일수),"- 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음)  
 - 국민주택채권 매입 : 대출금액 × 130% × 1% × 채권할인율",0,
8,666MORT,BEST고정금리모기지론,고정,jbb,2.72,4.77,0.0,30,영업점 문의 필요,"상환금액×
수수료율(잔여일 1년미만 1%, 1년초과 2%)×
대출잔여일수÷대출기간(최장 3년)","인지세:50%
주택채권매입:대출금액×120%×1%×할인율
화재보험료(아파트외)
주택신보출연료(주택구입)",1,4.0
10,642MORT,BNK357금리안심모기지론,고정,bnkbs,3.4,4.96,3.4,30,"- 시세고시 아파트 0.1%
- 상환방식에 따른 우대금리 최대 0.2%
- 거래실적에 따른 우대금리 1.2%
- 20세 미만 세자녀 이상인 다자녀 가정, 60세 이상 노부모 부양자, 다문화가정 중 어느 하나에 해당시 0.1%
","중도상환금액 X 수수료율* X (대출잔여일수 ÷ 대출기간**)
*대출취급후 1년이내 : 1.5%
대출취급후 2년이내 : 1.0%
대출취급후 3년이내 : 0.5%
**대출기간이 3년을 초과하는 경우 3년","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 : 
대출금액 X 110 ~ 120% X 1% X 채권할인율",1,5.0
11,832MORT,BNK금리상한 모기지론,변동,bnkbs,3.01,5.37,3.26,30,,"중도상환금액 X 수수료율* X (대출잔여일수 ÷ 대출기간**)
*대출취급후 1년이내 : 1.5%
대출취급후 2년이내 : 1.0%
대출취급후 3년이내 : 0.5%
**대출기간이 3년을 초과하는 경우 3년","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 : 
대출금액 X 110 ~ 120% X 1% X 채권할인율",1,5.0
13,638MORT,BNK행복스케치 모기지론,변동,bnkbs,3.11,5.67,4.35,30,"- 급여 자동이체 0.1%
- 아파트관리비 자동납부 0.05%
- 공과금 자동이체 3건 이상 등록 0.05%
- 전자금융 0.05%
- 신용카드 회원(최대) 0.3%
- 환전, 송금실적 0.1%
- 휴대폰 요금 자동이체(신용카드 포함) 0.05%
- 예금평잔기준 0.1%
","중도상환금액 X 수수료율* X (대출잔여일수 ÷ 대출기간**)
*대출취급후 1년이내 : 1.5%
대출취급후 2년이내 : 1.0%
대출취급후 3년이내 : 0.5%
**대출기간이 3년을 초과하는 경우 3년","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 : 
대출금액 X 110 ~ 120% X 1% X 채권할인율",1,5.0
14,634MORT,DGB HYBRID 모기지론(구입),고정,dgb,3.03,5.5,3.16,30,"- 신용카드 이용실적 연계
- 급여이체
- 신용카드가맹점
- 우수고객
- 공과금 자동이체
- 신혼부부
- 다자녀(2명 이상)
- 거래실적 등
",중도상환수수료×1.5%×(3년-대출경과일수)÷3년(일수),"1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",2,4.0
15,628MORT,DGB HYBRID 모기지론(생활),고정,dgb,3.03,5.24,3.15,30,"- 신용카드 이용실적 연계
- 급여이체
- 신용카드가맹점
- 우수고객
- 공과금 자동이체
- 신혼부부
- 다자녀(2명 이상)
- 거래실적 등
",중도상환수수료×1.5%×(3년-대출경과일수)÷3년(일수),"1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",2,4.0
16,632MORT,DGB 장기모기지론(구입),변동,dgb,2.85,5.5,2.81,30,"- 신용카드 이용실적 연계
- 급여이체
- 신용카드가맹점
- 우수고객
- 공과금 자동이체
- 신혼부부
- 다자녀(2명 이상)
- 거래실적 등
",중도상환수수료×1.5%×(3년-대출경과일수)÷3년(일수),"1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",2,4.0
