,company,idandtype,review_counts,reviewid,date,total_rating,interest_sat,online_sat,prof_sat,service_sat,review
0,bnkbs,642MORT,1,6270,2016. 04. 13.,4.5,5,4,4,5,주거래 은행이 국민은행이었지만 우대금리를 적용해도 타은행보다 금리가 높거나 큰 헤택이 없어서 어느은행을 이용해야되나 고민하던중에 혹시나 싶어 방문한 부산은행이 금리도 최저수준으로 낮은편이었고 중도상환 조건도 맘에 들어서 부산은행에서 대출을 받았습니다 5년후에 변동금리로 전환되는 시점에도 별다른거 없으면 계속 이용하려 생각중입니다
1,citi,194MORT,4,5352,2016. 04. 13.,2.0,2,2,2,2,필요한자금을 빨리해줘서 감사하다
2,citi,194MORT,4,5353,2016. 04. 13.,4.0,4,4,4,4,분양받은 아파트잔금을 위해 씨티은행에서 주택대출을 받았고 직원이 카드사용시 금리 0.2% 줄어들어 카드사용을 추천하였고 받아드렸다
3,citi,194MORT,4,5354,2016. 04. 13.,3.25,3,4,2,4,"주택자금이 필요해 1억9천을 받았는데..

이율은 좋읏듯 하지만 직원이 나의 상황에 딱 맞는 조건이 아닌 자기들의 일방적인 조건을 제시하여 조금 아쉬웠다"
4,citi,194MORT,4,5355,2016. 04. 13.,2.5,3,3,2,2,1억 주택담보대출이 필요하여 대출을 받으려 방문 하였으나 높은금리및 서류가복잡하여 좀 힘들긴하였음.그러나 친절함이나 업무응대가좋아 추천합니다
5,dgb,634MORT,2,6261,2016. 04. 13.,3.25,3,3,3,4,주택구입시 담보대출을 받았는데 주거래 은행이라 대출이자도 저렴하고 안내도 충분히 잘 받았음
6,dgb,634MORT,2,6262,2016. 04. 13.,3.75,3,4,4,4,집을구매하여 집에대한 무이자중도금대출을 이용하였고 그후 대출을 알아보고있으나 아직확정적이지않고 주거래은행인 하나은행의 디딤돌대출 이용예정이다 
7,gwangju,840MORT,1,7447,2016. 04. 13.,3.75,4,1,5,5,"결혼을 하게 되어 집을 알아보던중 새로 입주하는 아파트가 있어 대출을 신청하게 되었습니다. 입주자협의회에서 단체대출조건에 대하여 여러 은행은행   협의가 진행되었고 그중에서 금리가 가장 낮은 광주은행을 선택했습니다.대신 관리비자동이체, 본은행 체크카드 사용등 조건이 세가지 정도 있었으며 대출신청에는 30분정도의 시간이 소비되었습니다. 대출상담자는 전문성을 가지고 친절하게 안내해주었으나 많은 서류에 싸인을 해야하는 점이 불편했습니다."
8,hanwha_life,775MORT,1,7094,2016. 04. 13.,4.0,5,1,5,5,결혼으로 집을 구매하기 위해 대출을 받았습니다. 전세를 알아보았으나 가격차이도 없고 해서 구매했죠. 은행보다 금리도 낮고 가입해둔 보험으로 우대금리받아서 매우 낮은 금리로 대출을 받을 수 있었고. 빠르고 편리했습니다. 주거래은행 포함해서 상담받은 다른 은행 4군데 보다 금리가 낮았습니다.
9,hi,798MORT,1,7098,2016. 04. 13.,4.25,4,4,4,5,집을 넓혀서 이사하게 되었는데 기존 아파트가 팔리지 않아서 전세를 내주고 이사하게 되었는데 돈이 모자라 담보대출이 필요한 상황에서 아파트 거래 부동산에서 추천해준곳이 현대해상이었습니다. 보험 가입에 따라 우대금리도 적용되고 시중 은행과 비교해도 금리조건도 나쁘지 않아  좋습니다. 변동금리라서 고정금리로 갈아탈까 고민은 됩니다.
10,ibk,680MORT,10,6365,2016. 04. 13.,4.0,4,4,4,4,상담받을 때 직원이 친절함.... 곳곳에 atm이 많음 그런데 좀 더 사람들이 많이 사용했으면 좋겠음.
11,ibk,680MORT,10,6366,2016. 04. 13.,2.75,4,3,2,2,안심전환대출이 국가시행사업이라서 그런지 직원이 별로 친절하지않고 전문성이 없었음
12,ibk,680MORT,10,6367,2016. 04. 13.,3.25,5,2,3,3,"저희주거래은행은 신한.농협인데

세종시로이사하면서 이아파트담당은기업은행이라어쩔수없이기업은행에세받았습니다.

집에서도멀고 새로계좌를터야하는입장이라많이불편했어요

대출받는입장에서는 저희가약자라는기분에너무안좋고대출상담하시는분도불친절해서

너무싫었습니다"
