,idandtype,productname,company,grade,interest,period,default_rate,target_rate,target,review_counts,average_rate
0,1000P2PINVEST,16303채권 (생활비 목적),peoplefund,6등급,10.0,24개월,0.0,100.0,10000000,21,3.7
1,1001P2PINVEST,16233채권 (생활비 목적),peoplefund,4등급,17.0,24개월,0.0,100.0,6000000,21,3.7
2,1002P2PINVEST,16179채권 (생활비 목적),peoplefund,7등급,18.0,24개월,0.0,100.0,2000000,21,3.7
3,1003P2PINVEST,16142채권 (생활비 목적),peoplefund,7등급,17.0,24개월,0.0,100.0,3000000,21,3.7
4,1004P2PINVEST,16088채권 (생활비 목적),peoplefund,1등급,5.52,24개월,0.0,100.0,21000000,21,3.7
5,1005P2PINVEST,16062채권 (생활비 목적),peoplefund,5등급,7.42,12개월,0.0,100.0,3000000,21,3.7
6,1006P2PINVEST,16357채권 (부업자금 목적),peoplefund,2등급,5.83,12개월,0.0,100.0,1000000,21,3.7
7,1007P2PINVEST,빅마마피자,funda,6등급,12.0,18개월,0.0,100.0,28000000,8,4.8
8,1008P2PINVEST,경기 남양주 금곡리 반도유보라,together,해당없음,13.0,12개월,0.0,100.0,10000000,1,5.0
9,1009P2PINVEST,경기 남양주 장현리 금강펜테리움,together,해당없음,12.0,12개월,0.0,100.0,30000000,1,5.0
10,1010P2PINVEST,16817채권 (생활비 목적),peoplefund,3등급,8.23,24개월,0.0,100.0,26000000,21,3.7
11,1011P2PINVEST,16665채권 (부업자금 목적),peoplefund,2등급,5.12,24개월,0.0,100.0,30000000,21,3.7
12,1012P2PINVEST,16661채권 (생활비 목적),peoplefund,2등급,5.52,12개월,0.0,100.0,24000000,21,3.7
13,1013P2PINVEST,16643채권 (생활비 목적),peoplefund,5등급,8.23,24개월,0.0,100.0,10000000,21,3.7
14,1014P2PINVEST,16580채권 (차량 구입 목적),peoplefund,7등급,17.0,24개월,0.0,100.0,11000000,21,3.7
15,1015P2PINVEST,16566채권 (생활비 목적),peoplefund,5등급,8.23,24개월,0.0,100.0,30000000,21,3.7
16,1016P2PINVEST,15892채권 (기존 대출 전환 목적),peoplefund,6등급,14.0,24개월,0.0,100.0,5000000,21,3.7
17,1017P2PINVEST,개별채권 1호,honestfund,6등급,8.94,24개월,1.0,100.0,10000000,12,4.3
18,1018P2PINVEST,개별채권 2호,honestfund,2등급,9.33,36개월,1.0,100.0,10000000,12,4.3
19,1019P2PINVEST,개별채권 3호,honestfund,6등급,11.0,12개월,1.0,100.0,3000000,12,4.3
20,1020P2PINVEST,개별채권 4호,honestfund,3등급,7.9,24개월,1.0,100.0,6000000,12,4.3
21,1021P2PINVEST,개별채권 5호,honestfund,5등급,7.33,24개월,0.0,100.0,15000000,12,4.3
22,1022P2PINVEST,개별채권 6호,honestfund,6등급,9.33,18개월,1.0,100.0,10000000,12,4.3
23,1023P2PINVEST,개별채권 7호,honestfund,1등급,5.15,24개월,0.0,100.0,25000000,12,4.3
24,1024P2PINVEST,개별채권 8호,honestfund,3등급,5.43,12개월,0.0,100.0,5000000,12,4.3
25,1025P2PINVEST,개별채권 9호,honestfund,5등급,9.33,18개월,1.0,100.0,18000000,12,4.3
26,1026P2PINVEST,개별채권 10호,honestfund,7등급,14.0,12개월,2.0,100.0,5000000,12,4.3
27,1027P2PINVEST,개별채권 11호,honestfund,7등급,7.9,18개월,1.0,100.0,10000000,12,4.3
28,1028P2PINVEST,개별채권 12호,honestfund,4등급,8.93,18개월,1.0,100.0,15000000,12,4.3
29,1029P2PINVEST,개별채권 13호,honestfund,5등급,10.0,12개월,1.0,100.0,5000000,12,4.3
30,1030P2PINVEST,개별채권 14호,honestfund,5등급,12.0,24개월,1.0,100.0,8000000,12,4.3
31,1031P2PINVEST,개별채권 15호,honestfund,5등급,10.0,12개월,1.0,100.0,15000000,12,4.3
32,1032P2PINVEST,개별채권 16호,honestfund,5등급,10.0,12개월,1.0,100.0,10000000,12,4.3
33,1033P2PINVEST,개별채권 17호,honestfund,5등급,11.0,12개월,1.0,100.0,1200000,12,4.3
34,1034P2PINVEST,개별채권 18호,honestfund,6등급,9.33,12개월,1.0,100.0,600000,12,4.3
35,1035P2PINVEST,개별채권 19호,honestfund,5등급,11.0,12개월,1.0,100.0,10000000,12,4.3
36,1036P2PINVEST,개별채권 20호,honestfund,6등급,10.0,24개월,1.0,100.0,50000000,12,4.3
37,1037P2PINVEST,개별채권 21호,honestfund,4등급,8.3,18개월,1.0,100.0,20000000,12,4.3
38,1038P2PINVEST,개별채권 22호,honestfund,4등급,8.93,12개월,1.0,100.0,6000000,12,4.3
39,1039P2PINVEST,개별채권 23호,honestfund,6등급,9.33,24개월,1.0,100.0,15000000,12,4.3
40,1040P2PINVEST,개별채권 24호,honestfund,6등급,12.0,18개월,1.0,100.0,15000000,12,4.3
41,1041P2PINVEST,개별채권 25호,honestfund,3등급,9.33,18개월,1.0,100.0,10000000,12,4.3
42,1042P2PINVEST,개별채권 26호,honestfund,3등급,9.33,18개월,1.0,100.0,15000000,12,4.3
43,1043P2PINVEST,개별채권 27호,honestfund,3등급,11.0,12개월,1.0,100.0,20000000,12,4.3
44,1044P2PINVEST,개별채권 28호,honestfund,5등급,12.0,18개월,1.0,100.0,10000000,12,4.3
45,1045P2PINVEST,개별채권 29호,honestfund,1등급,8.3,18개월,1.0,100.0,10000000,12,4.3
46,1046P2PINVEST,개별채권 30호,honestfund,4등급,9.33,12개월,1.0,100.0,5000000,12,4.3
47,1047P2PINVEST,개별채권 31호,honestfund,5등급,10.0,18개월,1.0,100.0,10000000,12,4.3
48,1048P2PINVEST,개별채권 32호,honestfund,6등급,11.0,12개월,1.0,100.0,40000000,12,4.3
49,1049P2PINVEST,개별채권 33호,honestfund,4등급,10.0,12개월,1.0,100.0,8000000,12,4.3
50,1050P2PINVEST,개별채권 34호,honestfund,5등급,11.0,18개월,1.0,100.0,7000000,12,4.3
51,1051P2PINVEST,개별채권 35호,honestfund,5등급,12.0,12개월,1.0,100.0,10000000,12,4.3
52,1052P2PINVEST,개별채권 36호,honestfund,3등급,10.0,18개월,1.0,100.0,60000000,12,4.3
53,1053P2PINVEST,개별채권 37호,honestfund,6등급,12.0,12개월,1.0,100.0,6000000,12,4.3
54,1054P2PINVEST,개별채권 38호,honestfund,4등급,12.0,18개월,1.0,100.0,14000000,12,4.3
55,1055P2PINVEST,개별채권 39호,honestfund,4등급,12.0,12개월,1.0,100.0,3000000,12,4.3
56,1056P2PINVEST,개별채권 40호,honestfund,1등급,8.3,24개월,1.0,100.0,30000000,12,4.3
57,1057P2PINVEST,개별채권 41호,honestfund,1등급,8.3,12개월,1.0,100.0,5000000,12,4.3
58,1058P2PINVEST,개별채권 42호,honestfund,2등급,8.3,18개월,1.0,100.0,20000000,12,4.3
59,1059P2PINVEST,개별채권 43호,honestfund,3등급,9.33,24개월,1.0,100.0,10000000,12,4.3
60,1060P2PINVEST,개별채권 44호,honestfund,4등급,9.33,12개월,1.0,100.0,5000000,12,4.3
61,1061P2PINVEST,포트폴리오 1호,honestfund,4.2등급,10.0,12개월,0.0,100.0,600000000,12,4.3
62,1062P2PINVEST,포트폴리오 2호,honestfund,3.91등급,10.0,18개월,0.0,100.0,707000000,12,4.3
63,1063P2PINVEST,스페셜딜 1호,honestfund,1등급,8.3,24개월,0.0,100.0,200000000,12,4.3
64,1064P2PINVEST,스페셜딜 2호,honestfund,1등급,9.0,12개월,0.0,100.0,200000000,12,4.3
65,1065P2PINVEST,포트폴리오 3호,honestfund,3.84등급,10.0,18개월,0.0,100.0,815000000,12,4.3
66,1066P2PINVEST,스페셜딜 3호,honestfund,7등급,12.0,12개월,1.0,100.0,200000000,12,4.3
67,1067P2PINVEST,포트폴리오 4호,honestfund,3.56등급,10.0,18개월,0.0,100.0,954000000,12,4.3
68,1068P2PINVEST,개별채권 45호,honestfund,1등급,6.77,12개월,0.0,100.0,17000000,12,4.3
69,1069P2PINVEST,개별채권 46호,honestfund,5등급,12.0,24개월,2.0,100.0,15000000,12,4.3
70,1070P2PINVEST,개별채권 47호,honestfund,5등급,11.0,24개월,2.0,100.0,3000000,12,4.3
71,1071P2PINVEST,개별채권 48호,honestfund,4등급,9.27,18개월,1.0,100.0,19000000,12,4.3
72,1072P2PINVEST,개별채권 49호,honestfund,3등급,10.0,24개월,1.0,100.0,20000000,12,4.3
73,1073P2PINVEST,개별채권 50호,honestfund,1등급,6.95,12개월,0.0,100.0,10000000,12,4.3
74,1074P2PINVEST,개별채권 51호,honestfund,3등급,10.0,24개월,1.0,100.0,10000000,12,4.3
75,1075P2PINVEST,개별채권 52호,honestfund,2등급,6.95,6개월,0.0,100.0,10000000,12,4.3
76,1076P2PINVEST,개별채권 53호,honestfund,3등급,7.37,24개월,1.0,100.0,15000000,12,4.3
77,1077P2PINVEST,개별채권 54호,honestfund,3등급,7.93,18개월,1.0,100.0,10000000,12,4.3
78,1078P2PINVEST,개별채권 55호,honestfund,6등급,12.0,24개월,2.0,100.0,22000000,12,4.3
79,1079P2PINVEST,개별채권 56호,honestfund,4등급,10.0,24개월,1.0,100.0,20000000,12,4.3
80,1080P2PINVEST,개별채권 57호,honestfund,5등급,11.0,24개월,2.0,100.0,20000000,12,4.3
81,1081P2PINVEST,개별채권 58호,honestfund,6등급,10.0,18개월,2.0,100.0,10000000,12,4.3
82,1082P2PINVEST,개별채권 59호,honestfund,6등급,13.0,24개월,2.0,100.0,12000000,12,4.3
83,1083P2PINVEST,개별채권 60호,honestfund,1등급,6.95,18개월,0.0,100.0,10000000,12,4.3
84,1084P2PINVEST,개별채권 61호,honestfund,4등급,10.0,24개월,1.0,100.0,15000000,12,4.3
85,1085P2PINVEST,개별채권 62호,honestfund,4등급,10.0,24개월,1.0,100.0,22000000,12,4.3
86,1086P2PINVEST,개별채권 63호,honestfund,5등급,10.0,12개월,2.0,100.0,11000000,12,4.3
87,1087P2PINVEST,개별채권 64호,honestfund,5등급,11.0,12개월,2.0,100.0,4000000,12,4.3
88,1088P2PINVEST,개별채권 65호,honestfund,2등급,7.93,24개월,1.0,100.0,3000000,12,4.3
89,1089P2PINVEST,개별채권 66호,honestfund,5등급,11.0,24개월,2.0,100.0,12000000,12,4.3
90,1090P2PINVEST,개별채권 67호,honestfund,5등급,11.0,24개월,2.0,100.0,11000000,12,4.3
91,1091P2PINVEST,개별채권 68호,honestfund,4등급,10.0,24개월,1.0,100.0,15000000,12,4.3
92,1092P2PINVEST,개별채권 69호,honestfund,2등급,7.11,12개월,0.0,100.0,15000000,12,4.3
93,1093P2PINVEST,개별채권 70호,honestfund,2등급,8.61,24개월,1.0,100.0,15000000,12,4.3
94,1094P2PINVEST,개별채권 71호,honestfund,1등급,7.11,18개월,0.0,100.0,20000000,12,4.3
95,1095P2PINVEST,개별채권 72호,honestfund,6등급,15.0,24개월,3.0,100.0,5000000,12,4.3
96,1096P2PINVEST,개별채권 73호,honestfund,2등급,8.61,30개월,1.0,100.0,20000000,12,4.3
97,1097P2PINVEST,개별채권 74호,honestfund,2등급,7.11,12개월,0.0,100.0,20000000,12,4.3
98,1098P2PINVEST,개별채권 75호,honestfund,5등급,12.0,24개월,2.0,100.0,3000000,12,4.3
99,1099P2PINVEST,개별채권 76호,honestfund,1등급,7.11,30개월,0.0,100.0,15000000,12,4.3
100,1100P2PINVEST,개별채권 77호,honestfund,5등급,10.0,24개월,1.0,100.0,15000000,12,4.3
101,1101P2PINVEST,개별채권 78호,honestfund,3등급,9.54,24개월,1.0,100.0,15000000,12,4.3
102,1102P2PINVEST,개별채권 79호,honestfund,6등급,14.0,24개월,3.0,100.0,15000000,12,4.3
103,1103P2PINVEST,개별채권 80호,honestfund,3등급,7.37,18개월,1.0,100.0,15000000,12,4.3
104,1104P2PINVEST,개별채권 81호,honestfund,4등급,10.0,24개월,1.0,100.0,20000000,12,4.3
105,1105P2PINVEST,개별채권 82호,honestfund,5등급,9.54,18개월,1.0,100.0,8000000,12,4.3
106,1106P2PINVEST,개별채권 83호,honestfund,3등급,8.61,24개월,1.0,100.0,6000000,12,4.3
107,1107P2PINVEST,개별채권 84호,honestfund,5등급,9.81,12개월,1.0,100.0,15000000,12,4.3
108,1108P2PINVEST,개별채권 85호,honestfund,3등급,9.27,24개월,1.0,100.0,7000000,12,4.3
109,1109P2PINVEST,개별채권 86호,honestfund,5등급,12.0,24개월,2.0,100.0,10000000,12,4.3
110,1110P2PINVEST,개별채권 87호,honestfund,4등급,9.81,24개월,1.0,100.0,25000000,12,4.3
111,1111P2PINVEST,개별채권 88호,honestfund,6등급,13.0,18개월,2.0,100.0,7000000,12,4.3
112,1112P2PINVEST,개별채권 89호,honestfund,4등급,10.0,18개월,1.0,100.0,13000000,12,4.3
113,1113P2PINVEST,개별채권 90호,honestfund,2등급,7.93,30개월,1.0,100.0,25000000,12,4.3
114,1114P2PINVEST,개별채권 91호,honestfund,4등급,10.0,24개월,1.0,100.0,10000000,12,4.3
115,1115P2PINVEST,개별채권 92호,honestfund,6등급,13.0,24개월,2.0,100.0,10000000,12,4.3
116,1116P2PINVEST,개별채권 93호,honestfund,3등급,9.27,24개월,1.0,100.0,28000000,12,4.3
117,1117P2PINVEST,개별채권 94호,honestfund,3등급,7.93,18개월,1.0,100.0,7000000,12,4.3
118,1118P2PINVEST,개별채권 95호,honestfund,4등급,9.27,12개월,1.0,100.0,6000000,12,4.3
119,1119P2PINVEST,개별채권 96호,honestfund,5등급,10.0,18개월,1.0,100.0,10500000,12,4.3
