,productname,company,idandtype,review_counts,reviewid,date,total_rating,interest_sat,online_sat,prof_sat,service_sat,review
0,16303채권 (생활비 목적),peoplefund,1000P2PINVEST,21,11939,2016. 10. 27.,2.75,3,4,2,2,피플펀드 B등급/ 5.45% / 50만 원 투자 진행했습니다. 그런데 첫 연체를 경험했습니다. 은행권과 함께 한다고 했는데 다른 쪽보다 이렇게 쉽게 연체가 날 수 있나 하는 느낌을 받았습니다. 이제까지 첫번째 상환에서 연체가 발생한 경험은 없었는데 그리 만족도가 높은 금리도 아닌데 연체가 발생해 조금 당황스러웠습니다. P2P투자는 역시 소액 분산이 답이라 생각합니다. 
1,16303채권 (생활비 목적),peoplefund,1000P2PINVEST,21,11940,2016. 10. 27.,4.75,5,4,5,5,핀다 P2P 투자 뒤적거리다가 피플펀드 상품이 엄청 많길래 들어가봤습니다. 전북은행과 함께하는 P2P업체라 그런지 타 업체보다 믿음이 많이 가네요. 지금 가입하러 가볼께요 ㅎㅎㅎ
2,16303채권 (생활비 목적),peoplefund,1000P2PINVEST,21,11941,2016. 10. 27.,3.5,3,4,3,4, 은행권이랑 같이 하다보니 아무래도 다른 P2P업체보다는 리스크가 적을 것 같다는 생각. 엊그제 앱 런칭 메일도 받았는데 앱으로 좀 더 편하게 투자를 할 수 있으면 좋겠네요 
3,16303채권 (생활비 목적),peoplefund,1000P2PINVEST,21,11942,2016. 10. 27.,3.75,4,3,4,4,투자자 등록과정에서 주민등록증 사본을 올렸는데도 거절당해서 결국 투자를 진행하지 못했습니다. 투자를 하고 싶었으나 절차가 번거로워 못한 것이라 하면 좋을 것 같습니다. 
4,16303채권 (생활비 목적),peoplefund,1000P2PINVEST,21,11943,2016. 10. 27.,3.5,4,3,3,4,P2P 투자를 초반부터 몇 번 해봤습니다. 월 상환이라 금리가 작긴 하지만 이성적으로 계산했을 때 1년 적금이자가 매월 나오니 매력적이더라구요.  가급적 포트폴리오를 선호하지만 이번에는 피플펀드를 통해 일반신용대출을 했습니다. 아무래도 포트폴리오보다는 금리가 높은 점이 있어서 신청했고 신청 처리는 편하게 된 것 같습니다.  소액으로 여러투자대상으로  해볼 계획입니다. 다들 성투하세요!
5,16303채권 (생활비 목적),peoplefund,1000P2PINVEST,21,11944,2016. 10. 27.,3.75,3,4,3,5,"소액으로 P2P투자 진행. 뭐 은행 끼고 확인한다고도 하고, 투자 채권 별로 상세한 상황을 조회한 후 결정할 수 있으니 나름 재밌기도 하고 몇만원 선으로 시작했음. 피플펀드는 난생 처음 보는 투자용어에 대해 설명을 해놔서 공부하는 기회도 생김. "
6,16303채권 (생활비 목적),peoplefund,1000P2PINVEST,21,11945,2016. 10. 27.,3.5,4,3,3,4,P2P 투자 계속 고민하다가 이번에 본 상품으로 처음 해봤습니다. 금리만 봤을 때는 당연히 끌렸지만 아직 새롭게 생겨나는 시장이라 의구심 있었습니다. 신문에서 보다 피플 펀드는 전북은행과 연계하여 진행한다는 점이 원금 보장에 대한 걱정을 조금은 줄여준 것 같습니다. P2P업체가 신용등급 적용 안 받는 것이 장점이라고들 하는데 저는 보수적인 편이라 오히려 그런 제도를 벗어나는 것이 잠재적 리스크라고 생각합니다. 다들 각자의 판단에 맞게 하시고 투자할 때는 항상 수익보다 리스크를 먼저 생각하시길 바래요~
7,16303채권 (생활비 목적),peoplefund,1000P2PINVEST,21,11946,2016. 10. 27.,4.0,4,4,4,4,요즘 시중은행 예적금 금리가 터무니없이 낮아서 P2P를 알아보고 있는데 홈페이지 디자인도 깔끔하고 채권자 목록도 보기 쉽게 되어있어서 좋았지만 상품자체가 신용대출이어서 담보대출과 비교했을 때 위험성이 높고 기간이 24개월이나 되어서 조금은 망설이게 됩니다. 괜찮다 싶은 채권은 수익률이 너무 낮고... 그래도 은행권 P2P라는 게 강점인 것 같은데 좀 더 알아보고 투자할 계획입니다. 기간이 12개월만 되어도 허들이 많이 낮아질 것 같다고 봅니다.
8,16303채권 (생활비 목적),peoplefund,1000P2PINVEST,21,11947,2016. 10. 27.,3.75,3,4,4,4,투자자 등록과정이 까다롭지만 전북은행이랑 같이 P2P사업을 전개한다는 점에서 투자를 진행하게 됐습니다. 다른 P2P 투자상품보다는 수익률이 조금 낮은게 아쉽습니다. 
9,16303채권 (생활비 목적),peoplefund,1000P2PINVEST,21,11948,2016. 10. 27.,3.5,3,3,3,5,피플펀드 P2P투자를 진행하려다 결국 하지못했습니다.  다른 곳보다 투자자 등록과정이나 절차가 조금 복잡한 것 같습니다. 
